"","Kind_ID","I001","I002","I003","I004","I005","I006","I007","I008","I009","I010","I011","I012","I013","I014","I015","I016","I017","I018","I019","I020","I021","I022","I023","I024","I025","I026","I027","I028","I029","I030"
"115",26430,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",26427,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1
"117",26442,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"118",26450,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1
"119",26446,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1
"120",26448,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1
"121",26447,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"122",26452,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"123",26449,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1
"124",26451,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,NA
"125",26473,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,NA,NA,NA
"126",26475,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"127",26460,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1
"128",26480,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"129",26459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"130",26479,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"131",26463,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0
"132",26464,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,NA,NA,NA,NA
"133",26469,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1
"134",26457,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1
"135",26470,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"136",26476,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"137",26458,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"138",26461,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"139",26443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"140",26462,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA
"141",26445,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
"142",26472,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
"143",26465,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"144",26456,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1
"145",26471,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1
"146",26477,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0
"147",26474,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
"148",26466,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1
"149",26481,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1
"150",26454,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1
"151",26453,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1
"152",26482,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0
